Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Baby,101,0,30,60,4,3,4,4,0,2,3.75,5,4,4,4,1,2,4.25,5,4,5,4,0,2,4.5
Baby,201,0,30,60,4,3,4,3,1,2,3.5,4,3,4,4,1,2,3.75,5,4,4,4,1,2,4.25
Baby,202,0,30,60,5,1,5,3,1,2,3.5,5,4,4,3,1,2,4,5,4,4,4,1,2,4.25
Baby,203,0,30,60,4,3,3,2,0,2,3,4,4,4,3,0,2,3.75,5,4,5,4,0,2,4.5
Baby,204,0,30,60,4,4,4,5,1,2,4.25,5,5,4,5,1,2,4.75,5,5,5,6,1,2,5.25
Baby,205,0,30,60,3,1,2,3,0,2,2.25,4,2,4,3,0,2,3.25,4,2,4,3,0,2,3.25
Baby,206,0,30,60,3,3,4,4,1,2,3.5,4,4,4,4,1,2,4,4,4,4,4,1,2,4
Baby,207,0,30,60,3,2,2,2,1,2,2.25,4,3,3,4,1,2,3.5,4,4,3,4,0,2,3.75
Baby,208,0,30,60,3,3,4,2,0,2,3,3,4,4,3,0,2,3.5,3,4,4,3,0,2,3.5
Baby,209,0,30,60,3,3,2,4,0,2,3,4,4,3,4,0,2,3.75,4,4,4,4,0,2,4
Baby,210,0,30,60,1,1,1,1,0,2,1,2,2,2,2,0,2,2,2,2,2,2,0,2,2
Baby,411,0,30,60,1,1,1,1,0,1,1,2,2,2,2,0,2,2,2,2,2,2,0,0,2
Baby,410,0,30,60,1,2,2,1,0,2,1.5,3,2,2,1,0,2,2,4,2,2,1,0,2,2.25
Baby,409,0,30,60,4,3,3,1,0,2,2.75,4,3,3,2,0,2,3,5,2,4,2,0,2,3.25
Baby,408,0,30,60,2,4,4,2,0,2,3,2,5,4,3,0,2,3.5,2,5,4,3,0,2,3.5
Baby,407,0,30,60,2,1,2,2,0,2,1.75,3,2,3,4,0,2,3,3,3,3,4,0,2,3.25
Baby,406,0,30,60,3,3,3,2,0,2,2.75,4,3,3,3,0,2,3.25,4,3,4,3,0,2,3.5
Baby,405,0,30,60,3,3,3,2,0,2,2.75,4,3,4,3,0,2,3.5,4,3,4,4,0,2,3.75
Baby,404,0,30,60,5,4,4,4,0,2,4.25,5,4,4,6,0,2,4.75,6,4,4,6,0,2,5
Baby,403,0,30,60,3,3,5,4,1,2,3.75,4,4,4,9,1,2,5.25,4,4,4,9,1,2,5.25
Baby,402,0,30,60,4,1,4,3,0,2,3,4,2,4,4,0,2,3.5,4,2,4,4,0,2,3.5
Baby,401,0,30,60,5,5,5,1,1,2,4,6,6,6,4,1,2,5.5,6,6,6,5,1,2,5.75
Baby,301,0,30,60,5,4,5,4,1,2,4.5,5,5,5,5,2,2,5,5,5,5,5,2,1,5
Baby,302,0,30,60,4,1,2,4,0,2,2.75,4,2,4,4,0,2,3.5,4,2,4,4,0,0,3.5
Baby,303,0,30,60,4,3,4,4,0,2,3.75,4,4,5,4,0,2,4.25,4,4,5,4,0,2,4.25
Baby,304,0,30,60,5,3,4,4,0,2,4,5,4,4,4,0,2,4.25,5,4,4,5,0,2,4.5
Baby,305,0,30,60,2,1,1,1,0,2,1.25,3,3,2,2,0,2,2.5,3,3,3,2,0,2,2.75
Baby,306,0,30,60,2,2,2,2,0,2,2,4,2,2,3,0,2,2.75,4,3,3,4,0,2,3.5
Baby,307,0,30,60,3,2,3,5,0,2,3.25,3,2,4,4,0,2,3.25,3,2,4,4,0,2,3.25
Baby,308,0,30,60,3,3,4,3,0,2,3.25,3,4,5,4,0,2,4,3,4,6,4,0,2,4.25
Baby,309,0,30,60,3,1,3,1,0,2,2,4,2,4,1,0,2,2.75,4,2,4,1,0,2,2.75
Baby,310,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Baby,311,0,30,60,2,2,1,2,0,2,1.75,4,2,2,2,0,2,2.5,4,2,2,4,0,2,3
Maddie,110,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Maddie,109,0,30,60,1,3,3,2,0,2,2.25,2,3,3,2,0,2,2.5,3,3,3,2,0,2,2.75
Maddie,108,0,30,60,3,2,2,3,0,2,2.5,3,3,3,3,0,2,3,4,3,3,3,0,2,3.25
Maddie,107,0,30,60,2,1,2,1,0,2,1.5,3,1,2,2,0,2,2,3,1,2,2,0,2,2
Maddie,106,0,30,60,1,1,1,1,0,2,1,3,1,2,1,0,2,1.75,3,1,2,1,0,2,1.75
Maddie,105,0,30,60,1,1,2,1,0,2,1.25,1,2,3,2,0,2,2,2,2,3,2,0,2,2.25
Maddie,104,0,30,60,3,3,2,1,0,2,2.25,4,3,3,2,0,2,3,4,3,3,3,0,2,3.25
Maddie,103,0,30,60,2,1,1,2,0,2,1.5,2,1,1,1,0,2,1.25,1,1,1,1,0,2,1
Maddie,102,0,30,60,1,1,1,1,0,2,1,2,1,2,1,0,2,1.5,2,1,2,2,0,2,1.75
Maddie,101,0,30,60,2,1,2,1,0,2,1.5,2,1,2,1,0,2,1.5,3,1,3,1,0,2,2
Maddie,201,0,30,60,1,1,1,1,0,2,1,1,1,2,2,0,0,1.5,1,1,2,2,0,2,1.5
Maddie,202,0,30,60,1,1,1,1,0,2,1,2,1,2,1,0,2,1.5,2,1,2,1,0,2,1.5
Maddie,203,0,30,60,1,1,1,1,0,2,1,3,1,2,1,0,2,1.75,3,1,2,1,0,0,1.75
Maddie,204,0,30,60,4,3,2,1,0,2,2.5,4,4,3,2,0,2,3.25,4,4,4,2,0,2,3.5
Maddie,205,0,30,60,1,1,1,1,0,2,1,1,1,1,2,0,2,1.25,1,1,2,2,0,2,1.5
Maddie,206,0,30,60,2,1,2,1,0,2,1.5,3,1,2,2,0,2,2,3,1,2,2,0,2,2
Maddie,207,0,30,60,3,1,3,1,0,2,2,4,1,4,2,1,2,2.75,4,1,4,2,0,2,2.75
Maddie,208,0,30,60,3,3,3,1,1,2,2.5,4,4,3,1,1,2,3,4,4,3,1,1,2,3
Maddie,209,0,30,60,1,2,2,1,0,2,1.5,2,3,2,2,0,2,2.25,2,3,2,2,0,2,2.25
Maddie,210,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,0,1,2,2,2,2,0,2,2
Maddie,411,0,30,60,1,1,1,1,0,2,1,1,2,2,2,0,2,1.75,2,2,2,2,0,0,2
Maddie,410,0,30,60,1,3,2,1,0,2,1.75,2,3,3,1,0,2,2.25,3,4,3,2,0,2,3
Maddie,409,0,30,60,2,2,3,1,0,2,2,3,2,3,2,0,2,2.5,4,3,3,2,0,2,3
Maddie,408,0,30,60,1,1,1,1,0,2,1,1,1,3,2,0,1,1.75,1,4,3,3,0,2,2.75
Maddie,407,0,30,60,1,1,2,1,0,2,1.25,1,1,2,1,0,0,1.25,1,1,3,1,0,1,1.5
Maddie,406,0,30,60,1,1,1,1,0,1,1,1,1,3,1,0,2,1.5,1,1,3,1,0,1,1.5
Maddie,405,0,30,60,1,2,1,1,0,2,1.25,1,2,2,2,0,2,1.75,1,2,2,2,0,0,1.75
Maddie,404,0,30,60,3,1,1,2,0,2,1.75,4,3,3,3,0,2,3.25,4,3,4,4,0,0,3.75
Maddie,403,0,30,60,3,1,3,1,0,2,2,4,1,4,2,0,2,2.75,4,1,5,4,0,2,3.5
Maddie,402,0,30,60,2,1,3,1,0,2,1.75,3,2,3,1,0,2,2.25,3,2,3,2,0,2,2.5
Maddie,401,0,30,60,3,1,2,2,0,2,2,4,1,3,2,0,2,2.5,4,1,3,2,0,0,2.5
Maddie,301,0,30,60,1,1,2,1,0,0,1.25,2,1,3,1,0,0,1.75,3,1,3,3,0,0,2.5
Maddie,302,0,30,60,1,1,1,1,0,2,1,3,1,2,1,0,0,1.75,3,1,3,3,0,0,2.5
Maddie,303,0,30,60,1,1,3,1,0,2,1.5,1,1,4,3,0,2,2.25,3,1,4,3,0,2,2.75
Maddie,304,0,30,60,4,3,3,3,0,2,3.25,4,3,4,4,0,2,3.75,5,3,4,4,0,2,4
Maddie,305,0,30,60,1,1,1,1,0,2,1,2,2,1,2,0,2,1.75,2,2,1,2,0,1,1.75
Maddie,306,0,30,60,1,1,1,1,0,1,1,2,1,2,1,0,1,1.5,2,1,2,1,0,2,1.5
Maddie,307,0,30,60,1,1,1,1,0,2,1,1,1,1,2,0,0,1.25,3,1,2,2,0,2,2
Maddie,308,0,30,60,1,1,3,1,0,2,1.5,1,1,4,3,0,2,2.25,1,1,4,4,0,2,2.5
Maddie,309,0,30,60,1,1,1,1,0,2,1,2,1,2,1,0,2,1.5,2,1,2,1,0,2,1.5
Maddie,310,0,30,60,1,1,1,1,0,2,1,1,2,1,1,0,2,1.25,1,2,1,1,0,2,1.25
Maddie,311,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,2,2,1,0,2,1.5
Blue,110,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
Blue,109,0,30,60,2,2,2,3,1,2,2.25,3,2,3,4,1,2,3,3,3,3,4,1,2,3.25
Blue,108,0,30,60,3,5,2,3,0,2,3.25,3,6,3,3,0,2,3.75,3,6,3,4,0,2,4
Blue,107,0,30,60,2,1,1,1,0,2,1.25,2,1,3,2,0,2,2,2,1,3,2,0,2,2
Blue,106,0,30,60,1,1,1,1,0,2,1,2,1,1,2,0,2,1.5,2,1,1,2,0,2,1.5
Blue,105,0,30,60,1,1,1,1,0,2,1,1,1,2,1,0,2,1.25,1,1,2,2,0,2,1.5
Blue,104,0,30,60,3,1,1,1,0,2,1.5,4,2,1,2,0,2,2.25,4,2,1,2,0,2,2.25
Blue,103,0,30,60,1,1,1,1,0,2,1,2,1,2,1,0,2,1.5,3,1,2,2,0,2,2
Blue,102,0,30,60,1,1,1,1,0,2,1,2,1,1,1,0,2,1.25,2,1,1,1,0,2,1.25
Blue,101,0,30,60,1,1,2,1,1,2,1.25,5,3,2,2,1,2,3,6,5,3,3,0,2,4.25
Blue,201,0,30,60,1,1,1,1,0,2,1,3,1,1,1,0,2,1.5,3,1,1,1,0,2,1.5
Blue,202,0,30,60,1,1,1,1,0,2,1,2,1,1,1,0,2,1.25,3,1,3,3,0,2,2.5
Blue,203,0,30,60,1,1,1,1,0,2,1,2,1,1,2,0,2,1.5,3,1,1,2,0,2,1.75
Blue,204,0,30,60,3,2,3,3,0,2,2.75,3,2,3,3,0,2,2.75,4,3,3,3,0,2,3.25
Blue,205,0,30,60,2,2,2,2,0,2,2,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Blue,206,0,30,60,3,1,1,1,0,2,1.5,3,2,2,3,0,2,2.5,3,2,2,3,0,2,2.5
Blue,207,0,30,60,1,1,1,1,0,2,1,2,1,1,2,0,2,1.5,2,1,2,3,0,2,2
Blue,208,0,30,60,1,4,1,2,0,2,2,1,4,3,2,0,2,2.5,3,4,3,3,0,2,3.25
Blue,209,0,30,60,3,3,2,1,0,2,2.25,3,3,3,2,0,2,2.75,4,3,3,3,0,2,3.25
Blue,210,0,30,60,2,2,1,1,0,2,1.5,1,1,2,2,0,2,1.5,2,2,2,2,0,2,2
Blue,411,0,30,60,1,1,1,1,0,2,1,2,1,1,1,0,2,1.25,2,2,1,2,0,2,1.75
Blue,410,0,30,60,1,2,2,1,0,2,1.5,2,2,2,2,0,2,2,2,2,2,2,0,2,2
Blue,409,0,30,60,2,1,2,1,0,2,1.5,3,2,3,1,0,2,2.25,3,3,3,2,0,2,2.75
Blue,408,0,30,60,3,1,4,4,0,2,3,3,2,5,4,0,2,3.5,3,2,5,4,0,2,3.5
Blue,407,0,30,60,1,4,2,4,1,2,2.75,1,4,3,4,1,2,3,1,4,3,5,1,2,3.25
