Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Oreo,101,0,30,60,2,1,4,3,0,2,2.5,3,1,2,2,0,2,2,4,1,3,2,0,2,2.5
Oreo,201,0,30,60,3,1,2,2,0,2,2,3,1,2,1,0,2,1.75,3,1,1,1,0,2,1.5
Oreo,202,0,30,60,3,1,2,2,0,2,2,3,1,1,1,0,2,1.5,3,1,1,2,0,2,1.75
Oreo,203,0,30,60,2,1,1,1,0,2,1.25,3,1,1,1,0,2,1.5,3,1,1,1,0,2,1.5
Oreo,204,0,30,60,4,3,4,4,0,2,3.75,4,3,3,3,0,2,3.25,4,3,4,2,0,1,3.25
Oreo,205,0,30,60,1,2,2,1,0,2,1.5,1,2,2,3,0,2,2,1,1,2,1,0,2,1.25
Oreo,206,0,30,60,1,1,2,2,0,2,1.5,2,1,2,3,0,2,2,3,1,2,1,0,1,1.75
Oreo,207,0,30,60,3,2,2,1,0,2,2,3,1,2,2,0,2,2,3,1,3,2,0,2,2.25
Oreo,208,0,30,60,3,3,3,1,0,2,2.5,2,2,3,3,0,2,2.5,2,2,2,3,0,2,2.25
Oreo,209,0,30,60,2,3,2,4,0,2,2.75,3,2,2,4,1,2,2.75,3,3,2,4,0,2,3
Oreo,210,0,30,60,1,1,1,1,0,2,1,2,2,2,2,0,2,2,1,1,1,1,0,0,1
Oreo,411,0,30,60,1,1,1,1,0,2,1,2,2,1,1,0,0,1.5,1,1,1,1,0,0,1
Oreo,410,0,30,60,1,2,2,1,0,0,1.5,1,3,3,1,0,2,2,1,2,2,1,0,2,1.5
Oreo,409,0,30,60,1,1,2,1,0,2,1.25,1,1,1,1,0,2,1,2,1,3,1,0,2,1.75
Oreo,408,0,30,60,1,1,6,6,0,2,3.5,1,1,5,5,0,2,3,1,1,6,7,0,2,3.75
Oreo,407,0,30,60,1,1,2,1,0,2,1.25,1,1,2,1,0,2,1.25,1,1,1,1,0,0,1
Oreo,406,0,30,60,2,1,1,1,0,2,1.25,1,1,1,1,0,2,1,1,1,2,1,0,2,1.25
