Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
BABY,102,0,2,3,4,4,0,2
BABY,102,30,3,3,4,4,0,2
BABY,102,60,4,3,5,4,0,2
BABY,101,0,4,3,4,4,0,2
BABY,101,30,5,4,4,4,1,2
BABY,101,60,5,4,5,4,0,2
BABY,201,0,4,3,4,3,1,2
BABY,201,30,4,3,4,4,1,2
BABY,201,60,5,4,4,4,1,2
BABY,202,0,5,1,5,3,1,2
BABY,202,30,5,4,4,3,1,2
BABY,202,60,5,4,4,4,1,2
BABY,203,0,4,3,3,2,0,2
BABY,203,30,4,4,4,3,0,2
BABY,203,60,5,4,5,4,0,2
BABY,204,0,4,4,4,5,1,2
BABY,204,30,5,5,4,5,1,2
BABY,204,60,5,5,5,6,1,2
BABY,205,0,3,1,2,3,0,2
BABY,205,30,4,2,4,3,0,2
BABY,205,60,4,2,4,3,0,2
BABY,206,0,3,3,4,4,1,2
BABY,206,30,4,4,4,4,1,2
BABY,206,60,4,4,4,4,1,2
BABY,207,0,3,2,2,2,1,2
BABY,207,30,4,3,3,4,1,2
BABY,207,60,4,4,3,4,0,2
BABY,208,0,3,3,4,2,0,2
BABY,208,30,3,4,4,3,0,2
BABY,208,60,3,4,4,3,0,2
BABY,209,0,3,3,2,4,0,2
BABY,209,30,4,4,3,4,0,2
BABY,209,60,4,4,4,4,0,2
BABY,210,0,1,1,1,1,0,2
BABY,210,30,2,2,2,2,0,2
BABY,210,60,2,2,2,2,0,2
BABY,411,0,1,1,1,1,0,1
BABY,411,30,2,2,2,2,0,2
BABY,411,60,2,2,2,2,0,0
BABY,410,0,1,2,2,1,0,2
BABY,410,30,3,2,2,1,0,2
BABY,410,60,4,2,2,1,0,2
BABY,409,0,4,3,3,1,0,2
BABY,409,30,4,3,3,2,0,2
BABY,409,60,5,2,4,2,0,2
BABY,408,0,2,4,4,2,0,2
BABY,408,30,2,5,4,3,0,2
BABY,408,60,2,5,4,3,0,2
BABY,407,0,2,1,2,2,0,2
BABY,407,30,3,2,3,4,0,2
BABY,407,60,3,3,3,4,0,2
BABY,406,0,3,3,3,2,0,2
BABY,406,30,4,3,3,3,0,2
BABY,406,60,4,3,4,3,0,2
BABY,405,0,3,3,3,2,0,2
BABY,405,30,4,3,4,3,0,2
BABY,405,60,4,3,4,4,0,2
BABY,404,0,5,4,4,4,0,2
BABY,404,30,5,4,4,6,0,2
BABY,404,60,6,4,4,6,0,2
BABY,403,0,3,3,5,4,1,2
BABY,403,30,4,4,4,9,1,2
BABY,403,60,4,4,4,9,1,2
BABY,402,0,4,1,4,3,0,2
BABY,402,30,4,2,4,4,0,2
BABY,402,60,4,2,4,4,0,2
BABY,401,0,5,5,5,1,1,2
BABY,401,30,6,6,6,4,1,2
BABY,401,60,6,6,6,5,1,2
BABY,301,0,5,4,5,4,1,2
BABY,301,30,5,5,5,5,2,2
BABY,301,60,5,5,5,5,2,1
BABY,302,0,4,1,2,4,0,2
BABY,302,30,4,2,4,4,0,2
BABY,302,60,4,2,4,4,0,0
BABY,303,0,4,3,4,4,0,2
BABY,303,30,4,4,5,4,0,2
BABY,303,60,4,4,5,4,0,2
BABY,304,0,5,3,4,4,0,2
BABY,304,30,5,4,4,4,0,2
BABY,304,60,5,4,4,5,0,2
BABY,305,0,2,1,1,1,0,2
BABY,305,30,3,3,2,2,0,2
BABY,305,60,3,3,3,2,0,2
BABY,306,0,2,2,2,2,0,2
BABY,306,30,4,2,2,3,0,2
BABY,306,60,4,3,3,4,0,2
BABY,307,0,3,2,3,5,0,2
BABY,307,30,3,2,4,4,0,2
BABY,307,60,3,2,4,4,0,2
BABY,308,0,3,3,4,3,0,2
BABY,308,30,3,4,5,4,0,2
BABY,308,60,3,4,6,4,0,2
BABY,309,0,3,1,3,1,0,2
BABY,309,30,4,2,4,1,0,2
BABY,309,60,4,2,4,1,0,2
BABY,310,0,1,1,1,1,0,2
BABY,310,30,1,1,1,1,0,2
BABY,310,60,1,1,1,1,0,2
BABY,311,0,2,2,1,2,0,2
BABY,311,30,4,2,2,2,0,2
BABY,311,60,4,2,2,4,0,2
MADDIE,110,0,1,1,1,1,0,2
MADDIE,110,30,1,1,1,1,0,2
MADDIE,110,60,1,1,1,1,0,2
MADDIE,109,0,1,3,3,2,0,2
MADDIE,109,30,2,3,3,2,0,2
MADDIE,109,60,3,3,3,2,0,2
MADDIE,108,0,3,2,2,3,0,2
MADDIE,108,30,3,3,3,3,0,2
MADDIE,108,60,4,3,3,3,0,2
MADDIE,107,0,2,1,2,1,0,2
MADDIE,107,30,3,1,2,2,0,2
MADDIE,107,60,3,1,2,2,0,2
MADDIE,106,0,1,1,1,1,0,2
MADDIE,106,30,3,1,2,1,0,2
MADDIE,106,60,3,1,2,1,0,2
MADDIE,105,0,1,1,2,1,0,2
MADDIE,105,30,1,2,3,2,0,2
MADDIE,105,60,2,2,3,2,0,2
MADDIE,104,0,3,3,2,1,0,2
MADDIE,104,30,4,3,3,2,0,2
MADDIE,104,60,4,3,3,3,0,2
MADDIE,103,0,2,1,1,2,0,2
MADDIE,103,30,2,1,1,1,0,2
MADDIE,103,60,1,1,1,1,0,2
MADDIE,102,0,1,1,1,1,0,2
MADDIE,102,30,2,1,2,1,0,2
MADDIE,102,60,2,1,2,2,0,2
MADDIE,101,0,2,1,2,1,0,2
MADDIE,101,30,2,1,2,1,0,2
MADDIE,101,60,3,1,3,1,0,2
MADDIE,201,0,1,1,1,1,0,2
MADDIE,201,30,1,1,2,2,0,0
MADDIE,201,60,1,1,2,2,0,2
MADDIE,202,0,1,1,1,1,0,2
MADDIE,202,30,2,1,2,1,0,2
MADDIE,202,60,2,1,2,1,0,2
MADDIE,203,0,1,1,1,1,0,2
MADDIE,203,30,3,1,2,1,0,2
MADDIE,203,60,3,1,2,1,0,0
MADDIE,204,0,4,3,2,1,0,2
MADDIE,204,30,4,4,3,2,0,2
MADDIE,204,60,4,4,4,2,0,2
MADDIE,205,0,1,1,1,1,0,2
MADDIE,205,30,1,1,1,2,0,2
MADDIE,205,60,1,1,2,2,0,2
MADDIE,206,0,2,1,2,1,0,2
MADDIE,206,30,3,1,2,2,0,2
MADDIE,206,60,3,1,2,2,0,2
MADDIE,207,0,3,1,3,1,0,2
MADDIE,207,30,4,1,4,2,1,2
MADDIE,207,60,4,1,4,2,0,2
MADDIE,208,0,3,3,3,1,1,2
MADDIE,208,30,4,4,3,1,1,2
MADDIE,208,60,4,4,3,1,1,2
MADDIE,209,0,1,2,2,1,0,2
MADDIE,209,30,2,3,2,2,0,2
MADDIE,209,60,2,3,2,2,0,2
MADDIE,210,0,1,1,1,1,0,2
MADDIE,210,30,1,1,1,1,0,0
