,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
30,Penny,401,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.75,2.0,1.0,2.0,2.0,0.0,0.0,1.75
31,Penny,301,0,30,60,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.5,1.0,1.0,2.0,2.0,0.0,0.0,1.5
32,Penny,302,0,30,60,1.0,0.0,4.0,1.0,0.0,0.0,1.5,1.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0
33,Penny,303,0,30,60,4.0,2.0,4.0,3.0,0.0,2.0,3.25,3.0,1.0,2.0,3.0,0.0,2.0,2.25,1.0,2.0,2.0,4.0,0.0,2.0,2.25
34,Penny,304,0,30,60,3.0,1.0,3.0,2.0,0.0,2.0,2.25,4.0,2.0,3.0,2.0,0.0,2.0,2.75,4.0,3.0,3.0,3.0,0.0,2.0,3.25
35,Penny,305,0,30,60,1.0,1.0,2.0,1.0,0.0,0.0,1.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.25
36,Penny,306,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.75,2.0,3.0,1.0,2.0,0.0,2.0,2.0
37,Penny,307,0,30,60,1.0,1.0,1.0,2.0,0.0,2.0,1.25,1.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0
38,Penny,308,0,30,60,1.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,2.25,1.0,1.0,4.0,4.0,0.0,2.0,2.5
39,Penny,309,0,30,60,1.0,1.0,2.0,1.0,0.0,2.0,1.25,2.0,1.0,2.0,1.0,0.0,2.0,1.5,2.0,1.0,2.0,2.0,0.0,2.0,1.75
