,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
53,Oreo,202,0,30,60,3,1,2,2,0,2,2,3,1,1,1,0,2,1,3,1,1,2,0,2,1
54,Oreo,203,0,30,60,2,1,1,1,0,2,1,3,1,1,1,0,2,1,3,1,1,1,0,2,1
55,Oreo,204,0,30,60,4,3,4,4,0,2,3,4,3,3,3,0,2,3,4,3,4,2,0,1,3
56,Oreo,205,0,30,60,1,2,2,1,0,2,1,1,2,2,3,0,2,2,1,1,2,1,0,2,1
57,Oreo,206,0,30,60,1,1,2,2,0,2,1,2,1,2,3,0,2,2,3,1,2,1,0,1,1
58,Oreo,207,0,30,60,3,2,2,1,0,2,2,3,1,2,2,0,2,2,3,1,3,2,0,2,2
59,Oreo,208,0,30,60,3,3,3,1,0,2,2,2,2,3,3,0,2,2,2,2,2,3,0,2,2
60,Oreo,209,0,30,60,2,3,2,4,0,2,2,3,2,2,4,1,2,2,3,3,2,4,0,2,3
61,Oreo,210,0,30,60,1,1,1,1,0,2,1,2,2,2,2,0,2,2,1,1,1,1,0,0,1
62,Oreo,411,0,30,60,1,1,1,1,0,2,1,2,2,1,1,0,0,1,1,1,1,1,0,0,1
63,Oreo,410,0,30,60,1,2,2,1,0,0,1,1,3,3,1,0,2,2,1,2,2,1,0,2,1
64,Oreo,409,0,30,60,1,1,2,1,0,2,1,1,1,1,1,0,2,1,2,1,3,1,0,2,1
65,Oreo,408,0,30,60,1,1,6,6,0,2,3,1,1,5,5,0,2,3,1,1,6,7,0,2,3
66,Oreo,407,0,30,60,1,1,2,1,0,2,1,1,1,2,1,0,2,1,1,1,1,1,0,0,1
67,Oreo,406,0,30,60,2,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,2,1,0,2,1
68,Oreo,405,0,30,60,3,1,2,2,0,2,2,1,1,1,1,0,2,1,1,1,1,1,0,0,1
69,Oreo,404,0,30,60,4,3,3,1,0,2,2,4,3,3,2,0,2,3,4,2,3,2,0,2,2
70,Oreo,403,0,30,60,4,1,4,2,0,2,2,4,1,3,1,0,2,2,4,1,3,2,0,2,2
71,Oreo,402,0,30,60,3,1,3,2,0,2,2,3,1,3,3,0,2,2,3,1,3,3,0,2,2
72,Oreo,401,0,30,60,2,1,3,3,0,2,2,1,1,3,1,0,2,1,1,1,3,3,0,2,2
73,Oreo,301,0,30,60,3,2,4,1,0,2,2,3,2,3,3,0,2,2,2,1,3,3,0,2,2
74,Oreo,302,0,30,60,4,1,4,1,0,2,2,3,1,4,1,0,2,2,3,1,3,1,0,2,2
75,Oreo,303,0,30,60,3,1,4,3,0,2,2,4,1,3,1,0,2,2,3,1,4,3,0,2,2
76,Oreo,304,0,30,60,4,4,3,3,0,2,3,4,3,3,3,0,2,3,4,3,4,2,0,2,3
77,Oreo,305,0,30,60,1,1,3,3,0,1,2,3,2,3,3,0,2,2,1,1,2,2,0,1,1
78,Oreo,306,0,30,60,1,1,2,1,0,2,1,3,1,1,2,0,2,1,1,1,3,2,0,2,1
79,Oreo,307,0,30,60,1,1,2,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1
80,Oreo,308,0,30,60,1,1,3,1,0,0,1,1,1,3,1,0,2,1,1,1,2,1,0,2,1
81,Oreo,309,0,30,60,2,1,3,1,0,2,1,3,1,2,1,0,2,1,2,1,2,1,0,2,1
82,Oreo,310,0,30,60,1,2,2,1,0,2,1,1,1,2,1,0,2,1,1,1,1,1,0,2,1
83,Oreo,311,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1
84,Kobe,110,0,30,60,2,2,2,2,0,2,2,2,1,2,2,0,2,1,1,1,1,1,0,2,1
85,Kobe,109,0,30,60,3,3,3,2,0,2,2,3,3,3,2,0,2,2,2,3,3,2,0,2,2
86,Kobe,108,0,30,60,3,2,3,3,0,2,2,3,2,3,3,0,2,2,3,2,1,2,0,2,2
87,Kobe,107,0,30,60,3,1,3,2,0,2,2,1,1,3,2,0,2,1,2,1,3,1,0,2,1
